K,fold,rseed,flag_anomaly,mu,pi,aucA_train,aucA_test,aucZ_train,aucZ_test,ELBO,CS_U,CS_V,F1Q_train,F1Q_test
3,0,265,True,3.036674848749794e-51,0.023644739540042804,0.7767961411850193,0.6802581456622738,0.6599543611778701,0.6518559659353883,-22129.516850785236,0.9371268477389676,0.8352439649524551,0.0033444816053511705,0.25071225071225073
3,1,265,True,1.6501718091744687e-31,0.02368197860001638,0.7769699136938926,0.6766316036989675,0.6369991814340391,0.6992231638418078,-22180.56321645175,0.9245818016015467,0.8260853935185914,0.010291595197255574,0.3408521303258145
3,2,265,True,0.0004960703225987682,1.0000000000000002,0.7980133828689099,0.714344851516916,0.691289998530952,0.6999372756574611,-22563.12596380905,0.9189050348334163,0.8287589068673091,0.14418604651162792,0.2752808988764045
3,3,265,True,1.5341729209086983e-30,0.023573485130012672,0.7798219735262181,0.6686857315486149,0.6456781100897334,0.6754655775178163,-21997.38446412174,0.9250998087140837,0.8316682005102214,0.015410958904109588,0.3325062034739454
3,4,265,True,3.6530516130302233e-44,0.023419771376600965,0.7818771249172279,0.6745504960786336,0.6418662636674668,0.6528213136511274,-21856.683943424323,0.9136738060711528,0.8316889930773971,0.019383259911894275,0.29004329004329005
